ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002230.SZ,20240131,41.87,42.0,38.3,38.4,41.14,-2.74,-6.6602,700804.27,2772273.053
002230.SZ,20240130,41.29,43.2,40.91,41.14,40.41,0.73,1.8065,743988.15,3127719.708
002230.SZ,20240129,41.83,42.08,40.4,40.41,41.84,-1.43,-3.4178,443200.2,1813963.671
002230.SZ,20240126,42.19,42.72,41.79,41.84,42.6,-0.76,-1.784,452405.47,1905600.546
002230.SZ,20240125,41.97,42.9,41.34,42.6,42.4,0.2,0.4717,671273.71,2833551.98
002230.SZ,20240124,41.73,42.46,40.87,42.4,42.11,0.29,0.6887,780554.37,3262509.819
002230.SZ,20240123,38.1,42.11,37.87,42.11,38.28,3.83,10.0052,1051422.55,4299831.646
002230.SZ,20240122,39.9,39.99,37.89,38.28,39.35,-1.07,-2.7192,377257.75,1473331.115
002230.SZ,20240119,39.86,40.18,39.2,39.35,40.02,-0.67,-1.6742,260351.63,1033864.359
002230.SZ,20240118,38.88,40.06,38.48,40.02,39.18,0.84,2.144,431381.83,1687765.603
002230.SZ,20240117,40.13,40.19,39.18,39.18,39.95,-0.77,-1.9274,252501.8,1001958.259
002230.SZ,20240116,39.8,39.95,39.13,39.95,39.88,0.07,0.1755,302577.94,1195313.411
002230.SZ,20240115,40.0,40.8,39.65,39.88,40.19,-0.31,-0.7713,267711.73,1074969.854
002230.SZ,20240112,40.6,40.85,40.1,40.19,40.82,-0.63,-1.5434,249801.38,1011210.841
002230.SZ,20240111,39.4,41.08,39.4,40.82,39.4,1.42,3.6041,438255.97,1775118.93
002230.SZ,20240110,40.0,40.3,38.78,39.4,40.16,-0.76,-1.8924,345120.52,1363231.586
002230.SZ,20240109,40.01,40.5,39.7,40.16,40.01,0.15,0.3749,300641.01,1204613.669
002230.SZ,20240108,40.82,40.98,39.96,40.01,40.94,-0.93,-2.2716,307400.82,1237026.255
002230.SZ,20240105,41.87,41.91,40.65,40.94,41.7,-0.76,-1.8225,367019.74,1515018.364
002230.SZ,20240104,43.0,43.1,41.54,41.7,43.28,-1.58,-3.6506,474300.77,1989797.107
002230.SZ,20240103,45.0,45.05,42.67,43.28,45.1,-1.82,-4.0355,575936.44,2513704.706
002230.SZ,20240102,46.35,46.43,45.06,45.1,46.38,-1.28,-2.7598,308236.58,1402697.765
